gelma_concentration,cure_adhesive,adhesive_concentration,light_cure_time,print_speed (mm/min),size_of_tip,thickness (mm),CDH9,COL2A1,DMBX1,DRD4,EN1,LMX1A,MAP2,MYO3B,NOS2,NR2F1/NR2F2,NR2F2,OLFM3,PAPLN,PAX3,PAX6,POU4F1,PRKCA,SDC2,SOX1,TRPM8,WNT1,ZBTB16
0.1,I2959,0.0025,30,1500,27G,2,34.71,30.9,34.78,35.16,35.28,34.92,33.12,33.02,34.25,31.37,31.81,34.9,35.03,35.52,30.44,37.5,29.98,30.21,36.85,35.42,35.94,33.95
0.1,I2959,0.0025,50,1500,27G,2,34.78,31.29,33.43,35.49,35.54,36.16,33.3,33.9,34.05,33.67,32.19,33.5,32.52,36.67,30.48,37.13,29.72,30.85,35.88,38.71,40,34.65
0.1,I2959,0.0025,70,1500,27G,2,34.62,31.84,33.79,35.15,35.45,34.88,33.49,33.55,33.99,34.23,32.33,33.47,32.88,36.42,30.6,38.39,30.12,30.79,35.44,37.44,40,34.52
0.1,I2959,0.0025,90,1500,27G,2,37.25,30.7,40,36.9,33.75,40,33.12,34.67,33.68,32.1,29.14,36.13,35.39,34.84,33.29,39.88,29.5,30.6,38.7,38.09,35.99,34.22
0.125,I2959,0.0025,30,1500,27G,2,39.78,30.5,36.3,36.87,32.68,34.76,33.19,34.38,32.63,32.26,28.26,36.41,35.02,34.82,34.48,36.21,29.97,30.28,40,36.99,40,34.16
0.125,I2959,0.0025,50,1500,27G,2,34.54,32.4,34.2,35.57,35.23,36.27,33.88,33.85,34.32,34.76,32.79,34.54,32.56,37.59,31.06,40,30.34,31.16,38.08,36.97,40,34.28
0.125,I2959,0.0025,70,1500,27G,2,35.1,32.96,35.78,34.85,35.09,38.09,33.94,34.35,34.22,35.14,33.01,34.59,32.8,37.57,31.05,37.37,30.14,30.83,37.46,36.47,37.13,35.14
0.125,I2959,0.0025,90,1500,27G,2,32.42,29,32.69,34.16,33.14,30.1,31.05,31.3,31.66,27.81,29.23,31.56,34.3,29.74,28.71,36.33,29.63,30.08,38.27,33.92,31.17,31.64
0.15,I2959,0.0025,30,1500,27G,2,33.92,29.1,35.94,35.44,33.8,34.63,32.18,34.36,31.82,31.35,29.17,33.01,35.52,33.54,29.41,36.29,30.59,30.11,38.25,33.65,33.59,32.17
0.15,I2959,0.0025,50,1500,27G,2,33.99,31.11,40,34.91,33.62,33.64,34.14,33.4,34,32.36,30.97,34.81,32.83,34.72,31.21,35.08,30.74,30.28,38.46,35.49,36.47,34.27
0.15,I2959,0.0025,70,1500,27G,2,34.36,31.94,37.58,35.08,33.09,36.81,34.88,34.74,34.34,32.6,32.17,34.86,33.34,35.48,31.72,36.8,31.11,30.67,39.11,36.18,37.24,34.63
0.15,I2959,0.0025,90,1500,27G,2,33.42,29.31,40,34.71,33.63,34.88,32.33,35.13,31.76,31.52,29.32,33.47,35.83,34.3,29.34,34.26,30.58,30.29,38.52,35.68,35.04,32.24
0.175,I2959,0.0025,30,1500,27G,2,33.6,28.74,34.7,34.93,34.99,34.98,31.84,34.08,30.93,30.85,28.65,32.7,35.52,33.35,28.32,36.38,31.1,30.39,38.37,33.58,33.85,31.37
0.175,I2959,0.0025,50,1500,27G,2,34.73,31.37,36.63,35.31,34.56,33.85,34.47,34.41,34.73,32.58,31.76,35.23,32.8,35.06,31.8,36.36,31.45,31.15,37.64,39.1,35.44,34.41
0.175,I2959,0.0025,70,1500,27G,2,34.48,31.71,40,34.49,34.02,34.76,34.27,34.01,34.53,33,31.38,35.14,32.77,34.44,31.79,40,31.3,30.62,39,37.77,35.19,34.87
0.175,I2959,0.0025,90,1500,27G,2,34,28.5,40,35.19,33.7,34.2,31.81,34.77,31.43,30.37,28.56,32.52,35.49,32.44,29.01,39.26,29.97,30.12,38.14,33.97,32.72,31.7
0.1,I2959,0.005,30,1500,27G,2,31.63,27.54,35.33,33.27,33.73,31.62,30.08,31.87,30.25,27.98,28.97,31.1,33.87,30.99,27.66,35.32,28.79,29.73,37.63,33.1,33.6,30.65
0.1,I2959,0.005,50,1500,27G,2,36.52,33.04,33.3,34.1,35.71,40,35.18,34.74,35.47,34.96,35.96,34.6,34.19,40,31.25,40,30.78,30.99,37.26,38.3,37.28,33.71
0.1,I2959,0.005,70,1500,27G,2,35.39,33.03,33.15,33.75,34.94,36.39,35.1,34.47,34.8,34.28,35.5,33.98,33.99,37.81,30.84,38.81,30.73,31.17,37.67,37.67,35.89,34.58
0.1,I2959,0.005,90,1500,27G,2,31.36,28.48,35.53,33.24,33.84,32.28,30.33,32.04,30.43,29.22,29.63,31.59,33.46,31.72,27.87,34.08,28.96,29.79,37.16,32.71,34.34,31.11
0.125,I2959,0.005,30,1500,27G,2,32.32,28.28,38.2,34.32,32.98,32.22,30.96,32.18,31.53,29.61,29.3,31.74,34.96,31.58,29.02,35.88,30.5,30.04,33.71,33.51,33.6,31.76
0.125,I2959,0.005,50,1500,27G,2,34.86,33.14,36.18,33.44,32.62,36.29,34.52,35.25,34.29,35.63,34.17,34.7,32.99,39.65,31.53,36.68,31.07,30.68,39.73,40,40,33.8
0.125,I2959,0.005,70,1500,27G,2,35.04,32.94,35.94,32.55,34.31,36.29,35.21,35.55,34.88,35.84,35.29,34.37,33.05,38.7,31.01,40,30.8,30.73,38.5,37.35,38.12,33.92
0.125,I2959,0.005,90,1500,27G,2,33.18,32.3,38.82,35.44,33.2,33.89,32.34,33.55,34.79,30.26,30.16,32.74,35.5,33.28,29.79,38.92,30.17,30.05,38.36,35.63,35.09,32.15
0.15,I2959,0.005,30,1500,27G,2,34.68,31.67,40,35.24,32.42,34.84,34.08,32.9,33.05,32.75,30.83,32.51,35.46,34.84,31.27,35.9,30.08,30.55,37.32,35.93,35.9,33.97
0.15,I2959,0.005,50,1500,27G,2,36.46,30.36,36.3,33.62,32.79,33.86,33.5,36.35,32.74,33.98,27.9,34.8,34.83,35.33,33.34,39.07,30.25,30.71,40,38.21,36.25,34.18
0.15,I2959,0.005,70,1500,27G,2,35.86,31.21,40,33.75,33.31,34.82,34.14,36.52,33.97,34.28,28.41,34.88,35.36,36.23,33.77,39.59,30.93,31.01,40,38.48,40,34.53
0.15,I2959,0.005,90,1500,27G,2,34.5,31.65,36.8,36.43,32.04,33.62,33.99,33.91,32.99,33.6,30.08,33.97,35.5,35.46,31.04,40,30.68,30.07,37.86,35.28,37.5,33.93
0.175,I2959,0.005,30,1500,27G,2,34.95,31.51,35.29,35.21,31.91,34.57,33.71,33.49,32.97,33.64,30.27,34.31,32.16,35.25,32.11,35.58,30.18,30.65,37.75,40,36.86,34
0.175,I2959,0.005,50,1500,27G,2,34.15,29.99,36.45,33.49,33.22,33.31,33.58,35.89,32.97,33.71,27.88,34.01,34.25,34.99,33.13,38.78,30.82,30.76,40,37.66,37.47,34.59
0.175,I2959,0.005,70,1500,27G,2,35.01,30.92,40,32.21,32.76,35.24,33.69,35,33.48,34.68,28.69,34.55,33.59,35.19,33.4,36.56,31.24,30.32,38.61,37.46,40,34.29
0.175,I2959,0.005,90,1500,27G,2,34.79,31.83,40,34.27,31.58,34.1,33.77,33.79,32.83,33.78,29.87,34.65,31.82,34.67,32.19,34.93,30.42,29.98,37.63,36.79,37,33.69
