gelma_concentration,cure_adhesive,adhesive_concentration,light_cure_time,print_speed (mm/min),size_of_tip,thickness (mm),CXCL5,DNMT3B,HESX1,IDO1,LCK,NANOG,POU5F1,SOX2,TRIM22
0.1,I2959,0.0025,30,1500,27G,2,,,,,,,,,
0.1,I2959,0.0025,50,1500,27G,2,,,,,,,,,
0.1,I2959,0.0025,70,1500,27G,2,,,,,,,,,
0.1,I2959,0.0025,90,1500,27G,2,,,,,,,,,
0.125,I2959,0.0025,30,1500,27G,2,,,,,,,,,
0.125,I2959,0.0025,50,1500,27G,2,,,,,,,,,
0.125,I2959,0.0025,70,1500,27G,2,,,,,,,,,
0.125,I2959,0.0025,90,1500,27G,2,,,,,,,,,
0.15,I2959,0.0025,30,1500,27G,2,,,,,,,,,
0.15,I2959,0.0025,50,1500,27G,2,,,,,,,,,
0.15,I2959,0.0025,70,1500,27G,2,,,,,,,,,
0.15,I2959,0.0025,90,1500,27G,2,,,,,,,,,
0.175,I2959,0.0025,30,1500,27G,2,,,,,,,,,
0.175,I2959,0.0025,50,1500,27G,2,,,,,,,,,
0.175,I2959,0.0025,70,1500,27G,2,,,,,,,,,
0.175,I2959,0.0025,90,1500,27G,2,,,,,,,,,
0.1,I2959,0.005,30,1500,27G,2,,,,,,,,,
0.1,I2959,0.005,50,1500,27G,2,,,,,,,,,
0.1,I2959,0.005,70,1500,27G,2,,,,,,,,,
0.1,I2959,0.005,90,1500,27G,2,,,,,,,,,
0.125,I2959,0.005,30,1500,27G,2,,,,,,,,,
0.125,I2959,0.005,50,1500,27G,2,,,,,,,,,
0.125,I2959,0.005,70,1500,27G,2,,,,,,,,,
0.125,I2959,0.005,90,1500,27G,2,,,,,,,,,
0.15,I2959,0.005,30,1500,27G,2,,,,,,,,,
0.15,I2959,0.005,50,1500,27G,2,,,,,,,,,
0.15,I2959,0.005,70,1500,27G,2,,,,,,,,,
0.15,I2959,0.005,90,1500,27G,2,,,,,,,,,
0.175,I2959,0.005,30,1500,27G,2,,,,,,,,,
0.175,I2959,0.005,50,1500,27G,2,,,,,,,,,
0.175,I2959,0.005,70,1500,27G,2,,,,,,,,,
0.175,I2959,0.005,90,1500,27G,2,,,,,,,,,
0.1,LAP,0.0025,30,1500,27G,2,29.17,23.11,31.67,28.61,30.58,26.4,30.95,27.37,29.86
0.1,LAP,0.0025,50,1500,27G,2,29.42,22.7,31.24,29.11,30.78,26.08,30.5,26.68,29.72
0.1,LAP,0.0025,70,1500,27G,2,29.43,22.86,31.28,28.88,30.69,26.04,30.61,26.84,29.68
0.1,LAP,0.0025,90,1500,27G,2,31.41,25.58,33.25,32.73,32.78,28.76,33.25,30.97,30.73
0.125,LAP,0.0025,30,1500,27G,2,31.91,25.78,33.19,33.25,33.02,29.2,33.31,31.43,31.09
0.125,LAP,0.0025,50,1500,27G,2,29.83,23.14,31.47,28.96,30.88,26.84,30.9,27.2,30.59
0.125,LAP,0.0025,70,1500,27G,2,29.21,22.91,31.41,28.64,30.83,26.49,31.09,26.91,30.38
0.125,LAP,0.0025,90,1500,27G,2,32.49,25.14,32.69,31.84,32.49,28.97,33.29,28.13,32.52
