gelma_concentration,cure_adhesive,adhesive_concentration,light_cure_time,print_speed (mm/min),size_of_tip,thickness (mm),FGF4,GDF3,NPPB,NR5A2,PTHLH,T
0.1,I2959,0.0025,30,1500,27G,2,,,,,,
0.1,I2959,0.0025,50,1500,27G,2,,,,,,
0.1,I2959,0.0025,70,1500,27G,2,,,,,,
0.1,I2959,0.0025,90,1500,27G,2,,,,,,
0.125,I2959,0.0025,30,1500,27G,2,,,,,,
0.125,I2959,0.0025,50,1500,27G,2,,,,,,
0.125,I2959,0.0025,70,1500,27G,2,,,,,,
0.125,I2959,0.0025,90,1500,27G,2,,,,,,
0.15,I2959,0.0025,30,1500,27G,2,,,,,,
0.15,I2959,0.0025,50,1500,27G,2,,,,,,
0.15,I2959,0.0025,70,1500,27G,2,,,,,,
0.15,I2959,0.0025,90,1500,27G,2,,,,,,
0.175,I2959,0.0025,30,1500,27G,2,,,,,,
0.175,I2959,0.0025,50,1500,27G,2,,,,,,
0.175,I2959,0.0025,70,1500,27G,2,,,,,,
0.175,I2959,0.0025,90,1500,27G,2,,,,,,
0.1,I2959,0.005,30,1500,27G,2,,,,,,
0.1,I2959,0.005,50,1500,27G,2,,,,,,
0.1,I2959,0.005,70,1500,27G,2,,,,,,
0.1,I2959,0.005,90,1500,27G,2,,,,,,
0.125,I2959,0.005,30,1500,27G,2,,,,,,
0.125,I2959,0.005,50,1500,27G,2,,,,,,
0.125,I2959,0.005,70,1500,27G,2,,,,,,
0.125,I2959,0.005,90,1500,27G,2,,,,,,
0.15,I2959,0.005,30,1500,27G,2,,,,,,
0.15,I2959,0.005,50,1500,27G,2,,,,,,
0.15,I2959,0.005,70,1500,27G,2,,,,,,
0.15,I2959,0.005,90,1500,27G,2,,,,,,
0.175,I2959,0.005,30,1500,27G,2,,,,,,
0.175,I2959,0.005,50,1500,27G,2,,,,,,
0.175,I2959,0.005,70,1500,27G,2,,,,,,
0.175,I2959,0.005,90,1500,27G,2,,,,,,
0.1,LAP,0.0025,30,1500,27G,2,2.57,10.79,1.69,172.93,3.72,0.08
0.1,LAP,0.0025,50,1500,27G,2,0.41,14.79,0.98,110.54,2.66,0.04
0.1,LAP,0.0025,70,1500,27G,2,0.53,16.17,0.6,130.11,2.34,0.02
0.1,LAP,0.0025,90,1500,27G,2,1.04,3.37,2.2,43.03,7.81,0.14
0.125,LAP,0.0025,30,1500,27G,2,1.32,2.07,2.03,26.03,14.57,0.15
0.125,LAP,0.0025,50,1500,27G,2,0.81,13.78,0.93,103.03,1.51,0.07
0.125,LAP,0.0025,70,1500,27G,2,0.66,11.91,0.77,98.31,1.72,0.06
0.125,LAP,0.0025,90,1500,27G,2,0.25,1.42,1.73,28.67,3.03,0.04
0.15,LAP,0.0025,30,1500,27G,2,1.41,10.3,2.33,81.21,11.4,0.17
0.15,LAP,0.0025,50,1500,27G,2,1.56,6.02,0.9,63.62,6.64,0.16
0.15,LAP,0.0025,70,1500,27G,2,0.73,5.13,0.54,57.79,4.62,0.07
0.15,LAP,0.0025,90,1500,27G,2,2.73,10.5,2.14,73.25,14.85,0.2
0.175,LAP,0.0025,30,1500,27G,2,0.93,14.7,2.16,91.54,22.28,0.19
0.175,LAP,0.0025,50,1500,27G,2,0.79,7.56,0.8,60.28,9.38,0.18
0.175,LAP,0.0025,70,1500,27G,2,1.69,5.23,0.87,63.98,8.31,0.15
0.175,LAP,0.0025,90,1500,27G,2,0.51,4.51,2.31,37.75,13.23,0.2
0.1,LAP,0.005,30,1500,27G,2,0.54,3.86,0.96,82.08,1.72,0.09
0.1,LAP,0.005,50,1500,27G,2,0.59,32.19,0.71,190.34,4.05,0.04
0.1,LAP,0.005,70,1500,27G,2,0.53,31.87,1.01,175.72,2.82,0.07
0.1,LAP,0.005,90,1500,27G,2,1.22,1.83,0.65,60.16,2.28,0.01
0.125,LAP,0.005,30,1500,27G,2,0.27,1.56,1.62,45.93,3.72,0.01
0.125,LAP,0.005,50,1500,27G,2,0.34,11.39,0.61,117.78,1.64,0.01
0.125,LAP,0.005,70,1500,27G,2,0.99,15.73,0.69,114.2,1.22,0.03
0.125,LAP,0.005,90,1500,27G,2,0.64,2.38,2.27,33.81,3.25,0.19
0.15,LAP,0.005,30,1500,27G,2,1.47,11.39,1.65,104.96,2.97,0.08
0.15,LAP,0.005,50,1500,27G,2,0.3,1.31,2.48,15.07,14.72,0.04
0.15,LAP,0.005,70,1500,27G,2,0.22,1.88,3.24,11.46,18.94,0.04
0.15,LAP,0.005,90,1500,27G,2,0.31,8.81,5.44,80.34,7.03,0.08
0.175,LAP,0.005,30,1500,27G,2,0.77,4.1,1.84,56.35,3.3,0.08
0.175,LAP,0.005,50,1500,27G,2,0.02,2.09,2.49,22.24,14.13,0.01
0.175,LAP,0.005,70,1500,27G,2,0.58,2.55,1.83,24.76,8.54,0.02
0.175,LAP,0.005,90,1500,27G,2,1.16,3.13,2.77,55.28,6.56,0.09
