gelma_concentration,cure_adhesive,adhesive_concentration,light_cure_time,print_speed (mm/min),size_of_tip,thickness (mm),Self-renewal(discrete),Ectoderm(discrete),Mesoderm(discrete),Endoderm(discrete),Self-renewal,Ectoderm,Mesoderm,Endoderm
0.1,I2959,0.0025,30,1500,27G,2,,,,,,,,
0.1,I2959,0.0025,50,1500,27G,2,,,,,,,,
0.1,I2959,0.0025,70,1500,27G,2,,,,,,,,
0.1,I2959,0.0025,90,1500,27G,2,,,,,,,,
0.125,I2959,0.0025,30,1500,27G,2,,,,,,,,
0.125,I2959,0.0025,50,1500,27G,2,,,,,,,,
0.125,I2959,0.0025,70,1500,27G,2,,,,,,,,
0.125,I2959,0.0025,90,1500,27G,2,,,,,,,,
0.15,I2959,0.0025,30,1500,27G,2,,,,,,,,
0.15,I2959,0.0025,50,1500,27G,2,,,,,,,,
0.15,I2959,0.0025,70,1500,27G,2,,,,,,,,
0.15,I2959,0.0025,90,1500,27G,2,,,,,,,,
0.175,I2959,0.0025,30,1500,27G,2,,,,,,,,
0.175,I2959,0.0025,50,1500,27G,2,,,,,,,,
0.175,I2959,0.0025,70,1500,27G,2,,,,,,,,
0.175,I2959,0.0025,90,1500,27G,2,,,,,,,,
0.1,I2959,0.005,30,1500,27G,2,,,,,,,,
0.1,I2959,0.005,50,1500,27G,2,,,,,,,,
0.1,I2959,0.005,70,1500,27G,2,,,,,,,,
0.1,I2959,0.005,90,1500,27G,2,,,,,,,,
0.125,I2959,0.005,30,1500,27G,2,,,,,,,,
0.125,I2959,0.005,50,1500,27G,2,,,,,,,,
0.125,I2959,0.005,70,1500,27G,2,,,,,,,,
0.125,I2959,0.005,90,1500,27G,2,,,,,,,,
0.15,I2959,0.005,30,1500,27G,2,,,,,,,,
0.15,I2959,0.005,50,1500,27G,2,,,,,,,,
0.15,I2959,0.005,70,1500,27G,2,,,,,,,,
0.15,I2959,0.005,90,1500,27G,2,,,,,,,,
0.175,I2959,0.005,30,1500,27G,2,,,,,,,,
0.175,I2959,0.005,50,1500,27G,2,,,,,,,,
0.175,I2959,0.005,70,1500,27G,2,,,,,,,,
0.175,I2959,0.005,90,1500,27G,2,,,,,,,,
0.1,LAP,0.0025,30,1500,27G,2,,NEGATIVE,POSITIVE,POSITIVE,-0.97,0.16,3.46,0.6
0.1,LAP,0.0025,50,1500,27G,2,,NEGATIVE,POSITIVE,NEGATIVE,-1.23,-0.25,2.01,0.1
0.1,LAP,0.0025,70,1500,27G,2,,NEGATIVE,POSITIVE,NEGATIVE,-0.94,-0.05,2.18,0.14
0.1,LAP,0.0025,90,1500,27G,2,,NEGATIVE,POSITIVE,BORDERLINE,-3.34,0.04,5.1,0.33
0.125,LAP,0.0025,30,1500,27G,2,,NEGATIVE,POSITIVE,BORDERLINE,-3.97,-0.04,4.97,0.26
0.125,LAP,0.0025,50,1500,27G,2,,NEGATIVE,POSITIVE,NEGATIVE,-1.22,-0.22,2.28,-0.05
0.125,LAP,0.0025,70,1500,27G,2,,NEGATIVE,POSITIVE,NEGATIVE,-1.21,-0.35,2.08,-0.1
